Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Egypt,Status
bo5-sneaker,BO5 Sneaker,"<h2>Enhanced Comfort, Contemporary Style</h2><p>Step into comfort with the BO5 Sneaker - designed for the modern individual who values both style and practicality. This upgraded version features enhanced cushioning and a contemporary silhouette.</p><h3>Key Features:</h3><ul><li>Enhanced arch support for all-day comfort</li><li>Memory foam insole molds to your foot</li><li>Reinforced toe cap for added durability</li><li>Sleek, streamlined profile</li><li>Quick-dry materials resist moisture</li><li>Anti-odor treatment keeps shoes fresh</li></ul><p><strong>Perfect For:</strong> Office casual, light jogging, travel, everyday adventures</p><hr><h2>راحة محسّنة، أناقة عصرية</h2><p>حذاء BO5 الرياضي - مصمم للشخص العصري. نعل رغوة الذاكرة، مضاد للروائح.</p>",Hader Egypt,Apparel & Accessories > Shoes,Sneakers,"mens shoes, memory foam, comfortable sneakers",TRUE,Size,41,,,,BO5-41,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,"BO5 Sneaker - Memory Foam Comfort | Hader Egypt","حذاء BO5 الرياضي - راحة محسّنة بسعر 399 جنيه | نعل رغوة الذاكرة | مضاد للروائح | مقاسات 41-45 | توصيل سريع - Hader Egypt",Apparel & Accessories > Shoes,Male,Adult,BO5,New,FALSE,Comfort,Memory Foam,,,,,kg,,,Egypt,active
bo5-sneaker,,,,,,,,,42,,,,BO5-42,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
bo5-sneaker,,,,,,,,,43,,,,BO5-43,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
bo5-sneaker,,,,,,,,,44,,,,BO5-44,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
bo5-sneaker,,,,,,,,,45,,,,BO5-45,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
bo6-sneaker,BO6 Sneaker,"<h2>Athletic Performance Meets Street Style</h2><p>The BO6 Sneaker combines athletic performance with street-ready style. Engineered for versatility, these sneakers transition seamlessly from gym to street.</p><h3>Key Features:</h3><ul><li>Performance-grade materials built to last</li><li>Extra cushioning in heel and forefoot</li><li>Breathable mesh panels for ventilation</li><li>Reflective accents for visibility</li><li>Durable lace system with metal eyelets</li><li>Removable insole for custom orthotics</li></ul><p><strong>Perfect For:</strong> Gym workouts, running errands, active weekends, athleisure looks</p><hr><h2>أداء رياضي وأناقة الشارع</h2><p>حذاء BO6 الرياضي - للنشاط والحركة. تصميم رياضي عملي، قابل للغسل.</p>",Hader Egypt,Apparel & Accessories > Shoes,Sneakers,"athletic shoes, gym shoes, sports sneakers",TRUE,Size,41,,,,BO6-41,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,"BO6 Sneaker - Athletic Performance | Hader Egypt","حذاء BO6 الرياضي - للنشاط والحركة بـ 399 جنيه | تصميم رياضي عملي | قابل للغسل | مقاسات 41-45 | اشترِ الآن - Hader Egypt",Apparel & Accessories > Shoes,Male,Adult,BO6,New,FALSE,Athletic,Gym Ready,,,,,kg,,,Egypt,active
bo6-sneaker,,,,,,,,,42,,,,BO6-42,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
bo6-sneaker,,,,,,,,,43,,,,BO6-43,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
bo6-sneaker,,,,,,,,,44,,,,BO6-44,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
bo6-sneaker,,,,,,,,,45,,,,BO6-45,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
d2-sneaker,D2 Sneaker,"<h2>Timeless Classic Meets Modern Comfort</h2><p>Classic meets modern in the D2 Sneaker. This timeless design features clean lines and premium finishes that never go out of style.</p><h3>Key Features:</h3><ul><li>Premium vegan leather construction</li><li>Retro-inspired silhouette with modern comfort</li><li>Cushioned footbed for shock absorption</li><li>Durable cupsole construction</li><li>Perforated details for breathability</li><li>Easy to clean and maintain</li></ul><p><strong>Sizing:</strong> Runs slightly large - consider sizing down, EU 41-45</p><p><strong>Perfect For:</strong> Smart casual events, date nights, weekend brunch, versatile everyday wear</p><hr><h2>كلاسيكي خالد وراحة عصرية</h2><p>حذاء D2 الرياضي - جلد نباتي فاخر، تصميم خالد، سهل العناية.</p>",Hader Egypt,Apparel & Accessories > Shoes,Sneakers,"vegan leather, classic sneakers, retro shoes",TRUE,Size,41,,,,D2-41,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,"D2 Sneaker - Classic Vegan Leather | Hader Egypt","حذاء D2 الرياضي الكلاسيكي - جلد نباتي فاخر بـ 399 جنيه | تصميم خالد | سهل العناية | مقاسات 41-45 | Hader Egypt",Apparel & Accessories > Shoes,Male,Adult,D2,New,FALSE,Classic,Vegan,,,,,kg,,,Egypt,active
d2-sneaker,,,,,,,,,42,,,,D2-42,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
d2-sneaker,,,,,,,,,43,,,,D2-43,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
d2-sneaker,,,,,,,,,44,,,,D2-44,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
d2-sneaker,,,,,,,,,45,,,,D2-45,480,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
d4-sneaker,D4 Sneaker,"<h2>Bold Design, Everyday Comfort</h2><p>Make a statement with the D4 Sneaker - bold design meets everyday comfort. These sneakers feature eye-catching details that set you apart from the crowd.</p><h3>Key Features:</h3><ul><li>Chunky sole design for modern aesthetic</li><li>Extra padding around collar for comfort</li><li>Durable synthetic upper with textured accents</li><li>Wide lace design for secure fit</li><li>Shock-absorbing midsole technology</li><li>Stable platform for all-day support</li></ul><p><strong>Perfect For:</strong> Fashion statements, urban exploration, music festivals, trendsetting looks</p><hr><h2>تصميم جريء، راحة يومية</h2><p>حذاء D4 الرياضي - نعل سميك، تصميم عصري، للموضة والراحة.</p>",Hader Egypt,Apparel & Accessories > Shoes,Sneakers,"chunky sneakers, fashion shoes, trendy sneakers",TRUE,Size,41,,,,D4-41,500,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,"D4 Sneaker - Bold Chunky Design | Hader Egypt","حذاء D4 الرياضي العصري - نعل سميك وتصميم جريء بـ 399 جنيه | للموضة والراحة | مقاسات 41-45 | اشتر الآن - Hader Egypt",Apparel & Accessories > Shoes,Male,Adult,D4,New,FALSE,Fashion,Trendy,,,,,kg,,,Egypt,active
d4-sneaker,,,,,,,,,42,,,,D4-42,500,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
d4-sneaker,,,,,,,,,43,,,,D4-43,500,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
d4-sneaker,,,,,,,,,44,,,,D4-44,500,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
d4-sneaker,,,,,,,,,45,,,,D4-45,500,shopify,100,deny,manual,399,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
hk01-sneaker,HK01 Sneaker,"<h2>Premium Quality, Superior Design</h2><p>Premium quality meets superior design in the HK01 Sneaker. Crafted with attention to detail, these sneakers offer luxury at an accessible price point.</p><h3>Key Features:</h3><ul><li>Premium materials throughout</li><li>Advanced cushioning technology</li><li>Sleek, sophisticated design</li><li>Reinforced stitching for longevity</li><li>Antimicrobial treatment prevents odor</li><li>Premium branded insole</li></ul><p><strong>Perfect For:</strong> Business casual, important meetings, elevated everyday style, making impressions</p><hr><h2>جودة ممتازة، تصميم متفوق</h2><p>حذاء HK01 الرياضي الفاخر - جودة استثنائية، تصميم راقي، للمحترفين.</p>",Hader Egypt,Apparel & Accessories > Shoes,Sneakers,"premium sneakers, business casual, luxury shoes",TRUE,Size,41,,,,HK01-41,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,"HK01 Sneaker - Premium Luxury | Hader Egypt","حذاء HK01 الرياضي الفاخر - جودة استثنائية بـ 499 جنيه | تصميم راقي | مواد متميزة | مقاسات 41-45 | Hader Egypt",Apparel & Accessories > Shoes,Male,Adult,HK01,New,FALSE,Premium,Luxury,,,,,kg,,,Egypt,active
hk01-sneaker,,,,,,,,,42,,,,HK01-42,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
hk01-sneaker,,,,,,,,,43,,,,HK01-43,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
hk01-sneaker,,,,,,,,,44,,,,HK01-44,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
hk01-sneaker,,,,,,,,,45,,,,HK01-45,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
hk02-sneaker,HK02 Sneaker,"<h2>Innovation Meets Elegance</h2><p>The HK02 Sneaker represents the pinnacle of our collection - where innovation meets elegance. Every detail is thoughtfully designed for the modern professional.</p><h3>Key Features:</h3><ul><li>Innovative sole design with enhanced grip</li><li>Temperature-regulating materials</li><li>Water-resistant coating</li><li>Ergonomic fit reduces foot fatigue</li><li>Premium lace system with quick-lock feature</li><li>Signature branding details</li></ul><p><strong>Perfect For:</strong> Professional settings, networking events, upscale casual, daily commute</p><hr><h2>ابتكار وأناقة</h2><p>حذاء HK02 الرياضي الاحترافي - مقاوم للماء، للمحترفين.</p>",Hader Egypt,Apparel & Accessories > Shoes,Sneakers,"professional sneakers, water-resistant, innovative design",TRUE,Size,41,,,,HK02-41,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,"HK02 Sneaker - Professional Innovation | Hader Egypt","حذاء HK02 الرياضي الاحترافي - ابتكار وأناقة بـ 499 جنيه | مقاوم للماء | للمحترفين | مقاسات 41-45 | Hader Egypt",Apparel & Accessories > Shoes,Male,Adult,HK02,New,FALSE,Premium,Professional,,,,,kg,,,Egypt,active
hk02-sneaker,,,,,,,,,42,,,,HK02-42,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
hk02-sneaker,,,,,,,,,43,,,,HK02-43,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
hk02-sneaker,,,,,,,,,44,,,,HK02-44,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
hk02-sneaker,,,,,,,,,45,,,,HK02-45,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ks4-sneaker,KS4 Sneaker,"<h2>Performance Without Sacrifice</h2><p>The KS4 Sneaker delivers exceptional performance without sacrificing style. Engineered for those who demand both function and fashion.</p><h3>Key Features:</h3><ul><li>High-performance materials for active use</li><li>Enhanced stability system</li><li>Breathable construction keeps feet cool</li><li>Impact-resistant toe protection</li><li>Flexible groove pattern for natural movement</li><li>Sport-inspired design details</li></ul><p><strong>Perfect For:</strong> Sports activities, gym sessions, active lifestyle, performance wear</p><hr><h2>أداء بلا تنازلات</h2><p>حذاء KS4 الرياضي - للأداء العالي، رياضي وأنيق.</p>",Hader Egypt,Apparel & Accessories > Shoes,Sneakers,"performance shoes, sports shoes, active wear",TRUE,Size,41,,,,KS4-41,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,"KS4 Sneaker - High Performance | Hader Egypt","حذاء KS4 الرياضي للأداء العالي - رياضي وأنيق بـ 499 جنيه | للنشاط الرياضي | مقاسات 41-45 | طلب سريع - Hader Egypt",Apparel & Accessories > Shoes,Male,Adult,KS4,New,FALSE,Performance,Sports,,,,,kg,,,Egypt,active
ks4-sneaker,,,,,,,,,42,,,,KS4-42,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ks4-sneaker,,,,,,,,,43,,,,KS4-43,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ks4-sneaker,,,,,,,,,44,,,,KS4-44,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ks4-sneaker,,,,,,,,,45,,,,KS4-45,500,shopify,100,deny,manual,499,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ks5-sneaker,KS5 Sneaker,"<h2>Value Meets Performance</h2><p>Value meets performance in the KS5 Sneaker. Designed for everyday athletes, these sneakers offer professional-grade features at an accessible price.</p><h3>Key Features:</h3><ul><li>Multi-sport versatility</li><li>Responsive cushioning system</li><li>Durable outsole for various surfaces</li><li>Supportive midfoot structure</li><li>Lightweight construction</li><li>Breathable mesh upper</li></ul><p><strong>Perfect For:</strong> Multiple sports, cross-training, jogging, active casual wear</p><hr><h2>قيمة وأداء</h2><p>حذاء KS5 الرياضي - متعدد الاستخدامات، للرياضيين، قابل للغسل.</p>",Hader Egypt,Apparel & Accessories > Shoes,Sneakers,"multi-sport, training shoes, versatile sneakers",TRUE,Size,41,,,,KS5-41,480,shopify,100,deny,manual,449,,TRUE,TRUE,,,,,"KS5 Sneaker - Multi-Sport Versatility | Hader Egypt","حذاء KS5 الرياضي متعدد الاستخدامات - للرياضيين بـ 449 جنيه | تدريب متقاطع | قابل للغسل | مقاسات 41-45 | Hader Egypt",Apparel & Accessories > Shoes,Male,Adult,KS5,New,FALSE,Versatile,Multi-Sport,,,,,kg,,,Egypt,active
ks5-sneaker,,,,,,,,,42,,,,KS5-42,480,shopify,100,deny,manual,449,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ks5-sneaker,,,,,,,,,43,,,,KS5-43,480,shopify,100,deny,manual,449,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ks5-sneaker,,,,,,,,,44,,,,KS5-44,480,shopify,100,deny,manual,449,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ks5-sneaker,,,,,,,,,45,,,,KS5-45,480,shopify,100,deny,manual,449,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ks6-sneaker,KS6 Sneaker,"<h2>Running Technology Meets Lifestyle</h2><p>The KS6 Sneaker combines running technology with lifestyle design. Perfect for those who live life on the move.</p><h3>Key Features:</h3><ul><li>Running-inspired cushioning</li><li>Streamlined aerodynamic profile</li><li>Reflective elements for safety</li><li>Moisture-wicking lining</li><li>Flexible groove design</li><li>Lightweight mesh construction</li></ul><p><strong>Sizing:</strong> Runs narrow - wide feet may need to size up, EU 41-45</p><p><strong>Perfect For:</strong> Running, jogging, fast-paced lifestyle, athletic commuting</p><hr><h2>تقنية الجري ونمط الحياة</h2><p>حذاء KS6 الرياضي - خفيف وسريع، عناصر عاكسة، للركض.</p>",Hader Egypt,Apparel & Accessories > Shoes,Sneakers,"running shoes, lightweight sneakers, reflective shoes",TRUE,Size,41,,,,KS6-41,450,shopify,100,deny,manual,449,,TRUE,TRUE,,,,,"KS6 Sneaker - Lightweight Running | Hader Egypt","حذاء KS6 الرياضي للجري - خفيف وسريع بـ 449 جنيه | عناصر عاكسة | للركض | مقاسات 41-45 | اطلب الآن - Hader Egypt",Apparel & Accessories > Shoes,Male,Adult,KS6,New,FALSE,Running,Lightweight,,,,,kg,,,Egypt,active
ks6-sneaker,,,,,,,,,42,,,,KS6-42,450,shopify,100,deny,manual,449,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ks6-sneaker,,,,,,,,,43,,,,KS6-43,450,shopify,100,deny,manual,449,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ks6-sneaker,,,,,,,,,44,,,,KS6-44,450,shopify,100,deny,manual,449,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ks6-sneaker,,,,,,,,,45,,,,KS6-45,450,shopify,100,deny,manual,449,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ks7-sneaker,KS7 Sneaker,"<h2>Next-Level Comfort</h2><p>Experience next-level comfort with the KS7 Sneaker. Engineered with advanced materials and thoughtful design for ultimate all-day wearability.</p><h3>Key Features:</h3><ul><li>Advanced comfort technology</li><li>Pressure-point relief design</li><li>All-day arch support</li><li>Odor-resistant materials</li><li>Easy slip-on design with functional laces</li><li>Versatile style suitable for any occasion</li></ul><p><strong>Perfect For:</strong> All-day wear, travel, casual outings, comfort-first lifestyle</p><hr><h2>راحة المستوى التالي</h2><p>حذاء KS7 الرياضي - راحة قصوى، سهل الارتداء، مقاومة للروائح.</p>",Hader Egypt,Apparel & Accessories > Shoes,Sneakers,"comfort shoes, all-day wear, slip-on sneakers",TRUE,Size,41,,,,KS7-41,480,shopify,100,deny,manual,449,,TRUE,TRUE,,,,,"KS7 Sneaker - Ultimate Comfort | Hader Egypt","حذاء KS7 الرياضي للراحة القصوى - مثالي طوال اليوم بـ 449 جنيه | سهل الارتداء | مقاومة للروائح | مقاسات 41-45 | Hader Egypt",Apparel & Accessories > Shoes,Male,Adult,KS7,New,FALSE,Comfort,All-Day,,,,,kg,,,Egypt,active
ks7-sneaker,,,,,,,,,42,,,,KS7-42,480,shopify,100,deny,manual,449,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ks7-sneaker,,,,,,,,,43,,,,KS7-43,480,shopify,100,deny,manual,449,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ks7-sneaker,,,,,,,,,44,,,,KS7-44,480,shopify,100,deny,manual,449,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
ks7-sneaker,,,,,,,,,45,,,,KS7-45,480,shopify,100,deny,manual,449,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,kg,,,Egypt,
